seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,276,0.0009,0.0002,6dig,1.2,0.6,66.5,55.7
0,281,0.0013,0.0003,id,100.0,100.0,100.0,100.0
0,281,0.0013,0.0003,5dig,91.2,94.8,98.4,99.1
0,281,0.0013,0.0003,6dig,7.8,0.6,75.8,58.9
0,286,0.0009,0.0006,id,100.0,100.0,100.0,100.0
0,286,0.0009,0.0006,5dig,91.2,67.5,98.4,93.6
0,286,0.0009,0.0006,6dig,6.9,0.0,77.0,47.4
0,291,0.0008,0.0005,id,100.0,100.0,100.0,100.0
0,291,0.0008,0.0005,5dig,95.8,69.2,99.3,94.2
0,291,0.0008,0.0005,6dig,18.4,0.0,81.0,49.8
0,296,0.0007,0.0007,id,100.0,100.0,100.0,100.0
0,296,0.0007,0.0007,5dig,88.9,74.3,98.0,95.0
0,296,0.0007,0.0007,6dig,6.4,0.1,77.5,50.2
0,300,0.001,0.0004,id,100.0,100.0,100.0,100.0
0,300,0.001,0.0004,5dig,73.6,76.4,95.1,95.4
0,300,0.001,0.0004,6dig,2.7,0.0,68.4,49.2
1,1,2.5778,1.4441,id,0.0,0.1,11.7,20.8
1,1,2.5778,1.4441,5dig,0.0,0.0,10.9,20.5
1,1,2.5778,1.4441,6dig,0.0,0.0,9.3,19.0
1,6,0.8,0.335,id,0.1,48.4,27.7,86.5
1,6,0.8,0.335,5dig,0.0,12.6,25.8,74.8
1,6,0.8,0.335,6dig,0.0,1.4,23.6,63.9
1,11,0.7139,0.0792,id,0.1,97.7,33.9,99.5
1,11,0.7139,0.0792,5dig,0.0,12.0,32.1,77.6
1,11,0.7139,0.0792,6dig,0.0,0.0,28.7,50.6
1,16,0.616,0.0283,id,0.4,99.0,39.8,99.8
1,16,0.616,0.0283,5dig,0.0,71.0,36.1,94.6
1,16,0.616,0.0283,6dig,0.0,0.1,32.5,56.3
1,21,0.4155,0.0161,id,7.0,100.0,63.6,100.0
1,21,0.4155,0.0161,5dig,1.2,32.1,54.7,84.9
1,21,0.4155,0.0161,6dig,0.2,0.0,48.3,49.1
1,26,0.241,0.0108,id,19.6,99.9,75.0,100.0
1,26,0.241,0.0108,5dig,3.8,61.6,65.7,92.7
1,26,0.241,0.0108,6dig,0.8,0.0,58.3,51.6
1,31,0.1204,0.0111,id,93.2,100.0,98.5,100.0
1,31,0.1204,0.0111,5dig,23.5,57.4,81.8,92.0
1,31,0.1204,0.0111,6dig,0.8,0.0,63.9,52.1
1,36,0.0693,0.0056,id,99.0,100.0,99.8,100.0
1,36,0.0693,0.0056,5dig,54.6,78.4,90.9,96.0
1,36,0.0693,0.0056,6dig,0.5,0.2,63.1,56.3
1,41,0.0469,0.0055,id,99.6,100.0,99.9,100.0
1,41,0.0469,0.0055,5dig,56.8,82.9,91.6,96.8
1,41,0.0469,0.0055,6dig,0.3,0.4,60.7,56.0
1,46,0.0329,0.0054,id,99.5,100.0,99.9,100.0
1,46,0.0329,0.0054,5dig,83.5,51.0,97.0,89.8
1,46,0.0329,0.0054,6dig,5.0,0.0,72.8,49.1
1,51,0.0254,0.0037,id,99.9,100.0,100.0,100.0
1,51,0.0254,0.0037,5dig,71.9,79.4,94.7,96.2
1,51,0.0254,0.0037,6dig,0.7,0.1,63.0,53.8
1,56,0.02,0.0037,id,99.9,100.0,100.0,100.0
1,56,0.02,0.0037,5dig,81.2,89.1,96.6,98.0
1,56,0.02,0.0037,6dig,2.3,2.0,67.8,64.9
1,61,0.017,0.0028,id,99.7,100.0,99.9,100.0
1,61,0.017,0.0028,5dig,88.0,87.3,97.8,97.7
1,61,0.017,0.0028,6dig,7.9,3.7,75.5,68.5
1,66,0.0138,0.0025,id,100.0,100.0,100.0,100.0
1,66,0.0138,0.0025,5dig,86.7,89.9,97.6,98.2
1,66,0.0138,0.0025,6dig,10.1,0.5,77.0,57.8
1,71,0.0117,0.0021,id,100.0,100.0,100.0,100.0
1,71,0.0117,0.0021,5dig,81.7,88.4,96.7,97.9
1,71,0.0117,0.0021,6dig,2.3,1.1,67.3,61.8
1,76,0.0104,0.0023,id,100.0,100.0,100.0,100.0
1,76,0.0104,0.0023,5dig,81.2,84.6,96.6,97.2
1,76,0.0104,0.0023,6dig,3.2,0.3,68.7,57.0
1,81,0.0086,0.0016,id,100.0,100.0,100.0,100.0
1,81,0.0086,0.0016,5dig,87.3,79.4,97.7,96.1
1,81,0.0086,0.0016,6dig,10.1,0.0,75.8,52.4
1,86,0.0077,0.0018,id,100.0,100.0,100.0,100.0
1,86,0.0077,0.0018,5dig,84.7,88.3,97.3,97.9
1,86,0.0077,0.0018,6dig,7.7,0.3,74.8,56.6
1,91,0.007,0.0017,id,100.0,100.0,100.0,100.0
1,91,0.007,0.0017,5dig,85.8,94.7,97.5,99.1
1,91,0.007,0.0017,6dig,9.8,3.6,76.7,64.8
1,96,0.0067,0.0015,id,100.0,100.0,100.0,100.0
1,96,0.0067,0.0015,5dig,80.8,90.4,96.5,98.3
1,96,0.0067,0.0015,6dig,4.9,1.2,70.1,60.2
1,101,0.0057,0.0014,id,100.0,100.0,100.0,100.0
1,101,0.0057,0.0014,5dig,89.0,75.0,98.0,95.3
1,101,0.0057,0.0014,6dig,15.1,0.0,80.8,53.4
1,106,0.0052,0.0027,id,99.9,100.0,100.0,100.0
1,106,0.0052,0.0027,5dig,96.0,59.0,99.3,91.8
1,106,0.0052,0.0027,6dig,41.2,0.2,89.7,54.1
1,111,0.0044,0.0014,id,100.0,100.0,100.0,100.0
1,111,0.0044,0.0014,5dig,92.3,80.4,98.6,96.4
1,111,0.0044,0.0014,6dig,26.1,0.3,85.1,59.8
1,116,0.0045,0.0019,id,100.0,100.0,100.0,100.0
1,116,0.0045,0.0019,5dig,88.4,90.6,97.9,98.3
1,116,0.0045,0.0019,6dig,13.8,1.3,79.7,61.3
1,121,0.0038,0.001,id,100.0,100.0,100.0,100.0
1,121,0.0038,0.001,5dig,94.2,93.3,99.0,98.8
1,121,0.0038,0.001,6dig,26.7,1.3,85.6,61.3
1,126,0.0033,0.0012,id,100.0,100.0,100.0,100.0
1,126,0.0033,0.0012,5dig,93.8,87.1,98.9,97.7
1,126,0.0033,0.0012,6dig,21.7,0.3,82.4,57.4
1,131,0.0032,0.0014,id,100.0,100.0,100.0,100.0
1,131,0.0032,0.0014,5dig,87.7,77.5,97.8,95.8
1,131,0.0032,0.0014,6dig,15.7,0.1,80.9,56.9
1,136,0.0038,0.001,id,100.0,100.0,100.0,100.0
1,136,0.0038,0.001,5dig,82.9,90.3,96.9,98.3
1,136,0.0038,0.001,6dig,3.8,1.9,68.3,65.7
1,141,0.0026,0.0009,id,100.0,100.0,100.0,100.0
1,141,0.0026,0.0009,5dig,94.8,94.7,99.1,99.0
1,141,0.0026,0.0009,6dig,33.4,4.7,86.7,69.4
1,146,0.0023,0.0009,id,100.0,100.0,100.0,100.0
1,146,0.0023,0.0009,5dig,94.0,95.2,98.9,99.1
1,146,0.0023,0.0009,6dig,16.6,6.2,77.8,69.4
1,151,0.0022,0.0013,id,100.0,100.0,100.0,100.0
1,151,0.0022,0.0013,5dig,70.7,41.6,94.6,89.0
1,151,0.0022,0.0013,6dig,1.6,0.0,64.2,51.3
1,156,0.002,0.001,id,100.0,100.0,100.0,100.0
1,156,0.002,0.001,5dig,90.7,89.2,98.3,98.0
1,156,0.002,0.001,6dig,12.7,0.8,79.1,60.5
1,161,0.0019,0.0184,id,100.0,100.0,100.0,100.0
1,161,0.0019,0.0184,5dig,93.6,83.1,98.9,97.0
1,161,0.0019,0.0184,6dig,26.9,3.7,85.3,73.0
1,166,0.0022,0.0008,id,100.0,100.0,100.0,100.0
1,166,0.0022,0.0008,5dig,89.2,93.1,98.1,98.8
1,166,0.0022,0.0008,6dig,2.9,6.4,64.7,71.1
1,171,0.0017,0.0009,id,100.0,100.0,100.0,100.0
1,171,0.0017,0.0009,5dig,75.5,73.3,95.6,94.9
1,171,0.0017,0.0009,6dig,1.1,0.0,62.9,54.6
1,176,0.0019,0.0012,id,100.0,100.0,100.0,100.0
1,176,0.0019,0.0012,5dig,75.3,71.8,95.5,94.8
1,176,0.0019,0.0012,6dig,2.0,0.3,65.6,62.6
1,181,0.0018,0.0008,id,100.0,100.0,100.0,100.0
1,181,0.0018,0.0008,5dig,94.3,53.6,99.0,91.0
1,181,0.0018,0.0008,6dig,22.2,0.0,82.7,53.3
1,186,0.0019,0.0005,id,100.0,100.0,100.0,100.0
1,186,0.0019,0.0005,5dig,96.6,86.8,99.4,97.6
1,186,0.0019,0.0005,6dig,28.0,1.2,84.4,66.2
1,191,0.0011,0.0005,id,100.0,100.0,100.0,100.0
1,191,0.0011,0.0005,5dig,87.6,97.0,97.8,99.5
1,191,0.0011,0.0005,6dig,7.8,6.5,74.9,73.5
1,196,0.0018,0.001,id,100.0,100.0,100.0,100.0
1,196,0.0018,0.001,5dig,89.7,97.9,98.2,99.6
1,196,0.0018,0.001,6dig,9.4,14.2,73.6,78.0
1,201,0.0015,0.001,id,100.0,100.0,100.0,100.0
1,201,0.0015,0.001,5dig,95.0,84.3,99.1,97.1
1,201,0.0015,0.001,6dig,20.1,0.3,81.5,56.8
1,206,0.0013,0.0007,id,100.0,100.0,100.0,100.0
1,206,0.0013,0.0007,5dig,92.0,96.5,98.6,99.4
1,206,0.0013,0.0007,6dig,17.6,7.5,81.1,74.1
1,211,0.001,0.0005,id,100.0,100.0,100.0,100.0
1,211,0.001,0.0005,5dig,97.5,82.4,99.6,96.7
1,211,0.001,0.0005,6dig,25.9,0.1,84.3,56.4
1,216,0.0011,0.0004,id,100.0,100.0,100.0,100.0
1,216,0.0011,0.0004,5dig,95.2,86.9,99.2,97.6
1,216,0.0011,0.0004,6dig,16.4,1.7,79.8,63.0
1,221,0.0012,0.0008,id,100.0,100.0,100.0,100.0
1,221,0.0012,0.0008,5dig,94.2,94.7,99.0,99.0
1,221,0.0012,0.0008,6dig,14.2,6.0,77.3,72.1
1,226,0.001,0.0006,id,100.0,99.2,100.0,99.8
1,226,0.001,0.0006,5dig,71.1,97.8,94.7,99.6
1,226,0.001,0.0006,6dig,0.9,20.8,62.7,80.9
